CustomerID,Recency,Frequency,AdjMonetary,HadCancellation,HadDiscounts,HadManual,IsMultiCountry,Country,Cluster,Clusterlabel
12428,26,8,6774.8,6,0,1,0,Finland,1,VIP Customer
12429,9,4,3750.4,0,0,0,1,Denmark,1,VIP Customer
12430,43,1,256.4,0,0,0,0,Norway,3,At-Risk
12431,36,15,6348.889999999999,4,0,0,1,Australia,1,VIP Customer
12432,43,5,5059.32,0,0,0,0,Norway,0,Stable but Passive
12433,1,7,13375.87,0,0,0,0,Norway,1,VIP Customer
12434,85,2,765.1899999999999,4,0,0,0,Australia,0,Stable but Passive
12435,80,2,7829.89,0,0,0,0,Denmark,0,Stable but Passive
12436,100,1,509.01,0,0,0,0,Norway,3,At-Risk
12437,2,18,4896.66,1,0,1,0,France,1,VIP Customer
12438,14,2,2906.85,0,0,0,0,Norway,0,Stable but Passive
12441,367,1,173.55,0,0,0,0,France,3,At-Risk
12442,3,1,172.06,0,0,0,0,Spain,2,Occasional but Reachable
12444,21,5,5005.46,0,0,0,0,Norway,1,VIP Customer
12445,22,1,133.4,0,0,0,0,Spain,2,Occasional but Reachable
12446,58,1,1002.3100000000001,0,0,1,0,RSA,0,Stable but Passive
12447,243,1,476.49,0,0,0,0,Belgium,3,At-Risk
12448,44,1,449.45,0,0,0,0,Spain,2,Occasional but Reachable
12449,22,4,4067.29,0,0,0,0,Belgium,0,Stable but Passive
12450,156,2,197.88,0,0,0,0,Spain,3,At-Risk
12451,11,5,8933.52,1,0,0,0,Switzerland,1,VIP Customer
12452,17,2,428.57,1,0,0,0,Switzerland,2,Occasional but Reachable
12453,134,1,707.09,0,0,0,0,Austria,3,At-Risk
12454,56,1,4.547473508864641e-13,15,0,0,0,Spain,3,At-Risk
12455,73,6,2466.86,0,0,0,1,Cyprus,0,Stable but Passive
12456,44,3,3153.89,4,0,0,0,Switzerland,0,Stable but Passive
12457,66,7,1917.78,5,0,0,1,Switzerland,0,Stable but Passive
12458,71,2,947.4,0,0,0,0,Switzerland,0,Stable but Passive
12461,94,2,826.88,0,0,0,0,Switzerland,0,Stable but Passive
12462,19,2,1124.01,10,0,0,0,Spain,2,Occasional but Reachable
12463,53,4,1303.6299999999999,5,0,0,0,Belgium,0,Stable but Passive
12464,10,8,1212.05,0,0,0,0,Belgium,1,VIP Customer
12465,17,2,733.89,4,0,0,0,Belgium,2,Occasional but Reachable
12468,188,2,724.0400000000001,2,0,0,0,Germany,3,At-Risk
12471,2,29,18645.52,71,0,1,0,Germany,1,VIP Customer
12472,32,7,6229.48,52,0,0,0,Germany,1,VIP Customer
12473,54,3,2756.81,8,0,7,0,Germany,0,Stable but Passive
12474,17,18,7064.77,33,0,0,0,Germany,1,VIP Customer
12475,54,1,723.38,0,0,0,0,Germany,3,At-Risk
12476,16,11,6546.58,31,0,0,0,Germany,1,VIP Customer
12477,23,6,13117.01,8,0,0,0,Germany,1,VIP Customer
12478,4,1,680.99,0,0,0,0,Greece,2,Occasional but Reachable
12479,11,1,477.30000000000007,4,0,0,0,Germany,2,Occasional but Reachable
12480,28,4,3281.63,0,0,0,0,Germany,0,Stable but Passive
12481,23,10,5574.36,1,0,0,0,Germany,1,VIP Customer
12483,17,8,2327.13,6,0,0,0,Sweden,1,VIP Customer
12484,33,6,4480.87,4,0,0,0,Spain,0,Stable but Passive
12488,10,3,1298.66,0,0,0,0,France,2,Occasional but Reachable
12489,336,1,334.93,0,0,0,0,France,3,At-Risk
12490,5,10,5417.93,0,0,0,0,France,1,VIP Customer
12491,39,1,460.40000000000003,0,0,0,0,France,2,Occasional but Reachable
12492,63,2,263.21000000000004,0,0,0,0,Germany,3,At-Risk
12493,166,2,416.79,1,0,0,0,France,3,At-Risk
12494,16,7,1139.3500000000001,7,0,0,0,France,0,Stable but Passive
12497,82,1,1043.1,0,0,0,0,Germany,3,At-Risk
12498,21,3,403.70000000000005,0,0,0,0,Germany,2,Occasional but Reachable
12500,23,11,4206.2699999999995,4,0,0,0,Germany,1,VIP Customer
12501,337,1,2089.68,11,0,0,0,Germany,3,At-Risk
12502,96,5,3723.87,0,0,0,0,Spain,0,Stable but Passive
12504,18,2,114.0,6,0,0,0,Germany,2,Occasional but Reachable
12506,233,1,73.5,0,0,0,0,France,3,At-Risk
12507,134,3,1258.06,1,0,0,0,Spain,0,Stable but Passive
12508,26,2,397.88,0,0,0,0,France,2,Occasional but Reachable
12509,284,1,176.5,0,0,0,0,France,3,At-Risk
12510,143,2,982.5699999999999,0,0,0,0,Spain,0,Stable but Passive
12512,66,2,132.18,0,0,0,0,Israel,3,At-Risk
12513,113,1,586.79,1,0,0,0,France,3,At-Risk
12514,267,1,1017.68,0,0,0,0,Italy,3,At-Risk
12515,353,1,383.7,0,0,0,0,Italy,3,At-Risk
12516,78,2,1312.06,0,0,0,0,Germany,0,Stable but Passive
12517,28,5,2443.65,2,0,0,0,Germany,0,Stable but Passive
12518,1,5,2056.89,0,0,0,0,Germany,1,VIP Customer
12519,64,1,330.84,0,0,0,0,Germany,3,At-Risk
12520,79,5,2582.51,3,0,0,0,Germany,0,Stable but Passive
12521,143,1,599.68,0,0,0,0,Germany,3,At-Risk
12522,39,2,192.72,0,0,0,0,Germany,2,Occasional but Reachable
12523,19,11,1745.57,4,0,0,0,France,1,VIP Customer
12524,9,8,4485.72,0,0,0,0,Germany,1,VIP Customer
12526,1,3,1316.66,0,0,0,0,Germany,2,Occasional but Reachable
12527,82,3,348.71000000000004,0,0,0,0,Germany,3,At-Risk
12528,9,6,1922.28,3,0,0,0,Germany,1,VIP Customer
12530,60,4,1623.6299999999999,2,0,0,0,Germany,0,Stable but Passive
12531,15,1,125.22,0,0,0,0,Germany,2,Occasional but Reachable
12532,30,1,349.83000000000004,0,0,0,0,France,2,Occasional but Reachable
12534,131,1,1089.18,0,0,0,0,Germany,3,At-Risk
12535,92,2,716.35,0,0,0,0,France,0,Stable but Passive
12536,59,1,4106.820000000001,9,0,5,0,France,0,Stable but Passive
12538,29,1,363.95,0,0,0,0,Spain,2,Occasional but Reachable
12539,22,4,3852.5000000000005,0,0,1,0,Spain,0,Stable but Passive
12540,20,17,13309.039999999999,3,0,0,0,Spain,1,VIP Customer
12541,30,3,981.18,0,0,0,0,Spain,0,Stable but Passive
12544,36,1,355.7,1,0,0,0,Spain,2,Occasional but Reachable
12545,75,2,1000.39,0,0,0,0,Spain,0,Stable but Passive
12546,47,2,1141.5,1,0,0,0,Spain,0,Stable but Passive
12547,198,2,207.79999999999998,0,0,0,0,Spain,3,At-Risk
12548,166,1,95.19999999999999,0,0,0,0,Spain,3,At-Risk
12550,79,1,964.83,0,0,0,0,Spain,3,At-Risk
12551,358,1,168.0,0,0,0,0,Spain,3,At-Risk
12552,39,2,437.82,0,0,0,0,Italy,2,Occasional but Reachable
12553,8,10,3652.25,5,0,0,0,France,1,VIP Customer
12556,50,2,599.56,0,0,0,0,Spain,0,Stable but Passive
12557,16,5,11990.960000000001,0,0,0,0,Spain,1,VIP Customer
12558,8,1,0.0,11,0,0,0,USA,2,Occasional but Reachable
12559,311,2,536.21,1,0,0,0,Germany,3,At-Risk
12560,5,3,2101.3900000000003,6,0,0,0,Germany,2,Occasional but Reachable
12561,303,1,238.85,0,0,0,0,Germany,3,At-Risk
12562,8,7,3781.7400000000002,0,0,0,0,France,1,VIP Customer
12564,261,1,456.9,0,0,0,0,France,3,At-Risk
12565,289,1,131.17,1,0,0,0,Saudi Arabia,3,At-Risk
12566,86,1,346.7,1,0,0,0,Germany,3,At-Risk
12567,23,10,9114.94,17,0,0,0,France,1,VIP Customer
12569,2,32,4064.99,3,0,0,0,Germany,1,VIP Customer
12571,40,2,519.61,0,0,0,0,France,2,Occasional but Reachable
12572,9,2,1004.7199999999999,2,0,0,0,Germany,2,Occasional but Reachable
12573,227,1,160.54000000000002,0,0,0,0,France,3,At-Risk
12574,316,1,218.45,0,0,0,0,France,3,At-Risk
12576,36,5,1306.98,1,0,0,0,Poland,0,Stable but Passive
12577,35,3,556.3,1,0,1,0,France,0,Stable but Passive
12578,21,2,2753.36,6,0,0,0,Italy,0,Stable but Passive
12579,78,1,410.72,2,0,0,0,France,3,At-Risk
12580,247,1,415.7,0,0,0,0,Germany,3,At-Risk
12581,40,1,197.71,0,0,0,0,Germany,3,At-Risk
12582,239,2,511.36,0,0,0,0,Finland,3,At-Risk
12583,3,15,7187.34,4,0,0,0,France,1,VIP Customer
12584,4,9,1893.95,30,0,0,0,Italy,1,VIP Customer
12585,234,2,1982.81,10,0,0,0,Germany,0,Stable but Passive
12586,17,1,179.94000000000003,1,0,0,0,Italy,2,Occasional but Reachable
12587,8,1,144.0,0,0,0,0,Finland,2,Occasional but Reachable
12588,39,1,214.89999999999998,0,0,0,0,Finland,3,At-Risk
12589,29,2,646.68,0,0,0,0,France,2,Occasional but Reachable
12590,211,2,9861.380000000001,2,0,0,0,Germany,0,Stable but Passive
12591,317,1,452.84999999999997,0,0,0,0,Italy,3,At-Risk
12592,92,2,437.6,0,0,0,0,Germany,3,At-Risk
12593,109,3,418.09999999999997,0,0,0,0,France,3,At-Risk
12594,38,10,3320.2200000000003,1,0,0,0,Italy,1,VIP Customer
12596,51,2,618.27,0,0,0,0,Spain,0,Stable but Passive
12597,19,4,3683.1299999999997,8,0,0,0,Spain,0,Stable but Passive
12598,10,8,3002.68,1,0,0,0,France,1,VIP Customer
12599,29,7,1032.58,0,0,0,0,France,0,Stable but Passive
12600,29,10,2581.04,1,0,0,0,Germany,1,VIP Customer
12601,190,5,569.5600000000001,1,0,0,0,Germany,0,Stable but Passive
12602,59,1,153.12,0,0,0,0,France,3,At-Risk
12603,22,1,739.1999999999999,0,0,1,0,Germany,2,Occasional but Reachable
12604,79,2,254.18,0,0,0,0,France,3,At-Risk
12607,60,1,0.0,101,0,0,0,USA,3,At-Risk
12609,78,3,1126.85,0,0,0,0,Germany,0,Stable but Passive
12610,23,5,2057.99,5,0,0,0,Italy,0,Stable but Passive
12611,52,1,1193.32,0,0,0,0,Italy,0,Stable but Passive
12612,74,1,643.59,2,0,0,0,Germany,3,At-Risk
12613,57,5,3218.98,10,0,0,0,Germany,0,Stable but Passive
12614,278,1,315.6,0,0,0,0,Germany,3,At-Risk
12615,2,4,2291.19,0,0,0,0,France,1,VIP Customer
12616,95,2,657.25,4,0,0,0,France,3,At-Risk
12617,29,1,352.98,0,0,0,0,France,2,Occasional but Reachable
12618,22,1,177.31,0,0,0,0,Italy,2,Occasional but Reachable
12619,16,8,3214.81,4,0,2,0,Germany,1,VIP Customer
12620,15,3,1339.41,0,0,0,0,France,0,Stable but Passive
12621,2,20,13612.07,7,0,0,0,Germany,1,VIP Customer
12622,232,1,180.1,0,0,0,0,Germany,3,At-Risk
12623,276,1,305.1,0,0,0,0,Germany,3,At-Risk
12624,106,2,641.13,0,0,0,0,France,3,At-Risk
12625,212,2,2614.32,5,0,0,0,Germany,0,Stable but Passive
12626,23,9,6388.349999999999,13,0,0,0,Germany,1,VIP Customer
12627,11,7,4478.53,0,0,0,0,Germany,1,VIP Customer
12628,4,3,769.61,2,0,0,0,Germany,2,Occasional but Reachable
12630,10,2,1270.88,0,0,0,0,Finland,2,Occasional but Reachable
12631,57,1,640.5,0,0,0,0,Finland,3,At-Risk
12633,59,4,2140.63,2,0,0,0,Germany,0,Stable but Passive
12635,90,2,1689.18,0,0,0,0,Germany,0,Stable but Passive
12637,67,8,5934.25,4,0,0,0,France,0,Stable but Passive
12638,33,1,671.69,0,0,0,0,Sweden,2,Occasional but Reachable
12639,239,1,486.1,0,0,0,0,Sweden,3,At-Risk
12640,24,3,1174.58,0,0,0,0,France,0,Stable but Passive
12641,115,1,185.9,0,0,0,0,Sweden,3,At-Risk
12642,25,3,1013.26,0,0,0,0,Germany,0,Stable but Passive
12643,128,6,3344.64,0,0,0,0,France,0,Stable but Passive
12644,130,1,477.91,0,0,0,0,Germany,3,At-Risk
12645,34,4,1755.38,1,0,0,0,Germany,0,Stable but Passive
12646,5,2,1346.97,0,0,0,0,USA,2,Occasional but Reachable
12647,22,12,3669.92,6,0,0,0,Germany,1,VIP Customer
12648,155,1,318.05,0,0,0,0,Germany,3,At-Risk
12649,107,3,603.71,2,0,0,0,Germany,0,Stable but Passive
12650,3,1,314.44,0,0,0,0,France,2,Occasional but Reachable
12651,335,1,114.0,0,0,0,0,France,3,At-Risk
12652,331,1,914.53,3,0,0,0,France,3,At-Risk
12653,149,2,2209.85,0,0,0,0,Israel,0,Stable but Passive
12654,11,5,601.98,0,0,0,0,Germany,2,Occasional but Reachable
12656,17,5,3982.7200000000003,4,0,0,0,France,1,VIP Customer
12657,11,4,1152.06,9,0,0,0,France,2,Occasional but Reachable
12658,19,1,686.05,0,0,0,0,Germany,2,Occasional but Reachable
12659,30,1,91.68,0,0,0,0,France,3,At-Risk
12660,11,1,245.1,0,0,0,0,France,2,Occasional but Reachable
12662,1,11,3817.0800000000004,2,0,0,0,Germany,1,VIP Customer
12664,8,9,4863.88,1,0,0,0,Finland,1,VIP Customer
12665,325,1,61.75,1,0,0,0,Germany,3,At-Risk
12667,58,1,620.13,0,0,0,0,Finland,3,At-Risk
12668,12,4,3743.1800000000003,7,0,0,0,Germany,1,VIP Customer
12669,151,2,1607.73,0,0,2,0,France,0,Stable but Passive
12670,10,5,2986.15,2,0,0,0,France,1,VIP Customer
12672,330,1,225.89999999999998,0,0,0,0,France,3,At-Risk
12673,5,2,610.52,0,0,0,0,Germany,2,Occasional but Reachable
12674,39,4,1922.26,7,0,0,0,France,0,Stable but Passive
12676,25,6,1331.39,0,0,0,0,Sweden,0,Stable but Passive
12678,42,12,17588.26,2,0,0,0,France,1,VIP Customer
12679,59,4,1058.67,8,0,0,0,France,0,Stable but Passive
12680,1,4,862.81,0,0,0,0,France,2,Occasional but Reachable
12681,15,22,13677.59,8,0,0,0,France,1,VIP Customer
12682,4,31,12279.82,0,0,0,0,France,1,VIP Customer
12683,4,15,8221.09,18,0,0,0,France,1,VIP Customer
12684,8,6,2223.63,0,0,1,0,France,1,VIP Customer
12685,28,6,2863.08,0,0,0,0,France,0,Stable but Passive
12686,372,1,89.14,0,0,0,0,France,3,At-Risk
12688,114,1,4873.8099999999995,0,0,0,0,Israel,0,Stable but Passive
12689,26,2,1247.61,0,0,0,0,France,0,Stable but Passive
12690,206,1,389.01,0,0,0,0,France,3,At-Risk
12691,28,6,1035.8,0,0,0,0,France,0,Stable but Passive
12693,127,4,830.9599999999999,2,0,0,0,Germany,0,Stable but Passive
12694,70,2,869.67,0,0,0,0,France,0,Stable but Passive
12695,7,4,582.1,0,0,0,0,France,2,Occasional but Reachable
12697,29,3,939.02,2,0,0,0,Sweden,0,Stable but Passive
12700,8,4,4867.99,2,0,0,0,France,1,VIP Customer
12701,80,2,797.71,0,0,0,0,Germany,0,Stable but Passive
12702,20,1,219.0,0,0,0,0,Germany,2,Occasional but Reachable
12703,71,1,274.7,1,0,0,0,Germany,3,At-Risk
12704,7,8,2220.84,2,0,0,0,Finland,1,VIP Customer
12705,15,9,6814.24,14,0,0,0,Germany,1,VIP Customer
12707,292,1,603.42,0,0,0,0,France,3,At-Risk
12708,30,10,2616.3199999999997,17,0,0,0,Germany,1,VIP Customer
12709,15,15,9264.1,48,0,1,0,Germany,1,VIP Customer
12710,97,3,1130.57,2,0,0,0,Germany,0,Stable but Passive
12712,29,13,4241.63,9,0,0,0,Germany,1,VIP Customer
12713,1,1,848.55,0,0,0,0,Germany,2,Occasional but Reachable
12714,9,5,4708.86,0,0,0,0,France,1,VIP Customer
12715,106,1,343.36,0,0,0,0,Sweden,3,At-Risk
12716,4,2,1053.49,0,0,0,0,France,2,Occasional but Reachable
12717,151,2,980.98,1,0,0,0,Greece,0,Stable but Passive
12718,71,1,238.25,0,0,0,0,France,3,At-Risk
12719,5,2,608.1,3,0,0,0,France,2,Occasional but Reachable
12720,3,25,5713.28,5,0,0,0,Germany,1,VIP Customer
12721,32,6,2628.98,3,0,0,0,France,0,Stable but Passive
12722,85,4,904.33,4,0,0,0,France,0,Stable but Passive
12723,4,5,725.07,0,0,0,0,France,2,Occasional but Reachable
12724,5,4,1031.41,0,0,0,0,France,2,Occasional but Reachable
12725,371,1,427.8,0,0,0,0,Italy,3,At-Risk
12726,28,7,2609.1,0,0,0,0,France,0,Stable but Passive
12727,11,7,3947.7,2,0,0,0,France,1,VIP Customer
12728,71,4,836.33,0,0,0,0,France,0,Stable but Passive
12729,114,1,453.01,0,0,0,0,France,3,At-Risk
12731,24,12,18793.41,3,0,0,0,France,1,VIP Customer
12732,180,1,236.26000000000002,0,0,0,0,France,3,At-Risk
12733,234,1,383.95,0,0,0,0,USA,3,At-Risk
12734,353,1,110.39999999999999,0,0,0,0,France,3,At-Risk
12735,315,2,779.5699999999999,0,0,0,0,France,3,At-Risk
12736,333,1,234.0,0,0,0,0,France,3,At-Risk
12738,372,1,155.35,0,0,0,0,Germany,3,At-Risk
12739,78,2,1013.04,0,0,0,0,United Arab Emirates,0,Stable but Passive
12740,64,1,427.6,0,0,0,0,France,3,At-Risk
12743,134,2,540.13,0,0,0,0,Unspecified,3,At-Risk
12744,56,4,9120.39,0,0,14,0,Singapore,0,Stable but Passive
12747,2,11,4196.01,0,0,0,0,United Kingdom,1,VIP Customer
12748,1,206,28405.559999999998,44,0,17,0,United Kingdom,1,VIP Customer
12749,4,5,3868.2000000000003,32,0,0,0,United Kingdom,1,VIP Customer
12750,129,1,275.88,0,0,0,0,Poland,3,At-Risk
12752,81,1,4366.78,0,0,0,0,Norway,0,Stable but Passive
12753,23,6,21024.01,33,0,0,0,Japan,1,VIP Customer
12754,236,3,2949.12,0,0,2,0,Japan,0,Stable but Passive
12755,281,2,2203.2,1,0,1,0,Japan,0,Stable but Passive
12756,87,1,112.07999999999998,0,0,0,0,Japan,3,At-Risk
12757,16,9,4205.25,1,0,10,0,Portugal,1,VIP Customer
12758,117,2,2791.59,0,0,0,0,Portugal,0,Stable but Passive
12759,52,3,1531.44,0,0,0,0,Netherlands,0,Stable but Passive
12762,8,2,1898.52,0,0,0,0,Portugal,2,Occasional but Reachable
12763,138,2,494.08,0,0,0,0,Japan,3,At-Risk
12764,317,1,1693.88,0,0,0,0,Lebanon,3,At-Risk
12766,4,7,6989.63,0,0,0,0,Portugal,1,VIP Customer
12769,239,1,1143.6,0,0,0,0,Brazil,3,At-Risk
12770,211,1,1351.45,0,0,0,0,Japan,3,At-Risk
12772,60,1,892.47,0,0,0,0,Portugal,3,At-Risk
12775,17,5,1351.24,1,0,0,0,Netherlands,0,Stable but Passive
12778,20,6,804.23,1,0,0,0,Netherlands,0,Stable but Passive
12779,38,8,3868.7000000000003,10,0,0,0,Poland,1,VIP Customer
12781,64,2,707.72,5,0,0,0,Czech Republic,0,Stable but Passive
12782,5,5,2273.32,4,0,0,0,Portugal,1,VIP Customer
12783,2,4,1603.8700000000001,0,0,4,0,Portugal,1,VIP Customer
12784,9,2,532.8199999999999,0,0,0,0,Portugal,2,Occasional but Reachable
12785,364,1,305.71,1,0,0,0,Portugal,3,At-Risk
12787,10,3,463.66,0,0,0,0,Netherlands,2,Occasional but Reachable
12789,65,1,91.85,0,0,0,0,Netherlands,3,At-Risk
12790,192,1,324.92,0,0,0,0,Netherlands,3,At-Risk
12791,374,1,192.60000000000002,0,0,0,0,Netherlands,3,At-Risk
12792,257,1,400.53999999999996,0,0,0,0,Portugal,3,At-Risk
12793,335,2,545.48,0,0,0,0,Portugal,3,At-Risk
12794,53,2,860.41,0,0,0,0,Portugal,0,Stable but Passive
12795,19,1,430.48,0,0,0,0,Portugal,2,Occasional but Reachable
12797,366,1,194.18,4,0,0,0,Portugal,3,At-Risk
12798,10,3,6977.04,0,0,0,0,Japan,1,VIP Customer
12802,187,1,412.58,1,0,0,0,Netherlands,3,At-Risk
12808,37,3,483.65000000000003,0,0,0,0,Portugal,2,Occasional but Reachable
12809,178,1,484.36,1,0,0,0,Portugal,3,At-Risk
12811,261,3,514.85,0,0,0,0,Portugal,3,At-Risk
12812,45,1,229.64000000000001,0,0,0,0,Japan,3,At-Risk
12814,102,1,125.92,0,0,0,0,Poland,3,At-Risk
12815,148,2,1063.46,0,0,0,0,Poland,0,Stable but Passive
12816,96,2,572.2,0,0,0,0,Poland,3,At-Risk
12817,281,1,166.04,0,0,0,0,Austria,3,At-Risk
12818,262,1,1517.8799999999999,2,0,0,0,Austria,3,At-Risk
12820,3,4,942.34,0,0,0,0,United Kingdom,2,Occasional but Reachable
12821,214,1,92.72,0,0,0,0,United Kingdom,3,At-Risk
12822,71,2,918.98,1,0,0,0,United Kingdom,0,Stable but Passive
12823,75,5,1759.5,0,0,0,0,United Kingdom,0,Stable but Passive
12824,60,1,397.12,0,0,0,0,United Kingdom,3,At-Risk
12826,3,7,1468.1200000000001,3,0,0,0,United Kingdom,1,VIP Customer
12827,6,3,430.15000000000003,0,0,0,0,United Kingdom,2,Occasional but Reachable
12828,3,6,1018.71,0,0,0,0,United Kingdom,1,VIP Customer
12829,337,2,253.05,1,0,0,0,United Kingdom,3,At-Risk
12830,38,6,6748.400000000001,0,1,0,0,United Kingdom,1,VIP Customer
12831,262,1,215.05,0,0,0,0,United Kingdom,3,At-Risk
12832,32,2,383.03,0,0,0,0,United Kingdom,2,Occasional but Reachable
12833,145,1,417.38,0,0,0,0,United Kingdom,3,At-Risk
12834,283,1,312.38,0,0,0,0,United Kingdom,3,At-Risk
12836,59,4,2610.36,0,0,0,0,United Kingdom,0,Stable but Passive
12837,173,1,134.1,0,0,0,0,United Kingdom,3,At-Risk
12838,34,2,671.95,0,0,0,0,United Kingdom,2,Occasional but Reachable
12839,3,14,5583.62,2,0,0,0,United Kingdom,1,VIP Customer
12840,144,4,2714.27,3,0,0,0,United Kingdom,0,Stable but Passive
12841,5,25,3845.63,19,0,0,0,United Kingdom,1,VIP Customer
12842,70,2,1118.99,0,0,0,0,United Kingdom,0,Stable but Passive
12843,66,8,1680.76,5,0,0,0,United Kingdom,0,Stable but Passive
12844,29,2,325.96000000000004,0,0,0,0,United Kingdom,2,Occasional but Reachable
12845,267,4,354.09,0,0,0,0,United Kingdom,3,At-Risk
12847,22,1,843.64,0,0,0,0,United Kingdom,2,Occasional but Reachable
12849,31,2,975.01,0,0,2,0,United Kingdom,0,Stable but Passive
12851,97,1,131.81,0,0,0,0,United Kingdom,3,At-Risk
12852,295,1,299.75,3,0,0,0,United Kingdom,3,At-Risk
12853,135,6,1881.7,6,0,0,0,United Kingdom,0,Stable but Passive
12854,79,3,1280.9,5,0,0,0,United Kingdom,0,Stable but Passive
12855,373,1,38.1,0,0,0,0,United Kingdom,3,At-Risk
12856,8,6,2153.53,3,0,0,0,United Kingdom,1,VIP Customer
12857,211,2,1106.4,0,0,0,0,United Kingdom,0,Stable but Passive
12863,52,1,504.20000000000005,1,0,0,0,United Kingdom,3,At-Risk
12864,138,1,147.12,0,0,0,0,United Kingdom,3,At-Risk
12865,26,2,1548.07,1,0,0,0,Austria,0,Stable but Passive
12866,283,1,559.12,0,0,0,0,Belgium,3,At-Risk
